 Measured residence time data for different reactors
  Time    Reactor1   Reactor2   Reactor3   Reactor4   Reactor5 
 213.00   0.000000   0.000000   0.004516   0.017914   0.033567  
 214.00   0.000000   0.000000   0.004341   0.017775   0.033215  
 215.00   0.000000   0.000000   0.004173   0.017636   0.032867  
 216.00   0.000000   0.000000   0.004010   0.017498   0.032523  
 217.00   0.000000   0.000000   0.003854   0.017361   0.032182  
 218.00   0.000000   0.000000   0.003703   0.017224   0.031844  
 219.00   0.000000   0.000000   0.003558   0.017087   0.031510  
 220.00   0.000000   0.000000   0.003418   0.016951   0.031179  
 221.00   0.000000   0.000000   0.003283   0.016815   0.030851  
 222.00   0.000000   0.000000   0.003153   0.016679   0.030527  
 223.00   0.000000   0.000000   0.003029   0.016545   0.030206  
 224.00   0.000000   0.000000   0.002909   0.016410   0.029888  
 225.00   0.000000   0.000000   0.002793   0.016277   0.029574  
 226.00   0.000000   0.000000   0.002682   0.016143   0.029262  
 227.00   0.000000   0.000000   0.002575   0.016011   0.028954  
 228.00   0.000000   0.000000   0.002472   0.015879   0.028649  
 229.00   0.000000   0.000000   0.002373   0.015747   0.028347  
 230.00   0.000000   0.000000   0.002278   0.015616   0.028049  
 231.00   0.000000   0.000000   0.002186   0.015486   0.027753  
 232.00   0.000000   0.000000   0.002098   0.015356   0.027460  
 233.00   0.000000   0.000000   0.002014   0.015227   0.027170  
 234.00   0.000000   0.000000   0.001932   0.015099   0.026883  
 235.00   0.000000   0.000000   0.001854   0.014971   0.026600  
 236.00   0.000000   0.000000   0.001779   0.014844   0.026319  
 237.00   0.000000   0.000000   0.001706   0.014717   0.026041  
 238.00   0.000000   0.000000   0.001637   0.014592   0.025766  
 239.00   0.000000   0.000000   0.001570   0.014467   0.025493  
 240.00   0.000000   0.000000   0.001506   0.014342   0.025224  
 241.00   0.000000   0.000000   0.001444   0.014219   0.024957  
 242.00   0.000000   0.000000   0.001385   0.014096   0.024693  
 243.00   0.000000   0.000000   0.001328   0.013973   0.024432  
 244.00   0.000000   0.000000   0.001274   0.013852   0.024173  
 245.00   0.000000   0.000000   0.001221   0.013731   0.023917  
 246.00   0.000000   0.000000   0.001171   0.013611   0.023664  
 247.00   0.000000   0.000000   0.001123   0.013491   0.023414  
 248.00   0.000000   0.000000   0.001076   0.013373   0.023166  
 249.00   0.000000   0.000000   0.001032   0.013255   0.022920  
 250.00   0.000000   0.000000   0.000989   0.013138   0.022677  
 251.00   0.000000   0.000000   0.000948   0.013021   0.022437  
 252.00   0.000000   0.000000   0.000908   0.012905   0.022199  
 253.00   0.000000   0.000000   0.000870   0.012790   0.021964  
 254.00   0.000000   0.000000   0.000834   0.012676   0.021731  
 255.00   0.000000   0.000000   0.000799   0.012563   0.021501  
 256.00   0.000000   0.000000   0.000766   0.012450   0.021273  
 257.00   0.000000   0.000000   0.000734   0.012338   0.021047  
 258.00   0.000000   0.000000   0.000703   0.012227   0.020824  
 259.00   0.000000   0.000000   0.000673   0.012117   0.020603  
 260.00   0.000000   0.000000   0.000645   0.012007   0.020384  
 261.00   0.000000   0.000000   0.000618   0.011898   0.020168  
 262.00   0.000000   0.000000   0.000592   0.011790   0.019954  
 263.00   0.000000   0.000000   0.000567   0.011683   0.019742  
 264.00   0.000000   0.000000   0.000543   0.011576   0.019532  
 265.00   0.000000   0.000000   0.000520   0.011470   0.019325  
 266.00   0.000000   0.000000   0.000498   0.011365   0.019119  
 267.00   0.000000   0.000000   0.000477   0.011261   0.018916  
 268.00   0.000000   0.000000   0.000457   0.011157   0.018715  
 269.00   0.000000   0.000000   0.000437   0.011055   0.018516  
 270.00   0.000000   0.000000   0.000419   0.010953   0.018320  
 271.00   0.000000   0.000000   0.000401   0.010851   0.018125  
 272.00   0.000000   0.000000   0.000384   0.010751   0.017932  
 273.00   0.000000   0.000000   0.000367   0.010651   0.017742  
 274.00   0.000000   0.000000   0.000352   0.010552   0.017553  
 275.00   0.000000   0.000000   0.000337   0.010454   0.017366  
 276.00   0.000000   0.000000   0.000322   0.010357   0.017182  
 277.00   0.000000   0.000000   0.000308   0.010260   0.016999  
 278.00   0.000000   0.000000   0.000295   0.010164   0.016818  
 279.00   0.000000   0.000000   0.000282   0.010069   0.016639  
 280.00   0.000000   0.000000   0.000270   0.009974   0.016462  
 281.00   0.000000   0.000000   0.000259   0.009881   0.016287  
 282.00   0.000000   0.000000   0.000248   0.009788   0.016114  
 283.00   0.000000   0.000000   0.000237   0.009695   0.015943  
 284.00   0.000000   0.000000   0.000227   0.009604   0.015773  
 285.00   0.000000   0.000000   0.000217   0.009513   0.015605  
 286.00   0.000000   0.000000   0.000207   0.009423   0.015439  
 287.00   0.000000   0.000000   0.000199   0.009334   0.015275  
 288.00   0.000000   0.000000   0.000190   0.009245   0.015112  
 289.00   0.000000   0.000000   0.000182   0.009157   0.014951  
 290.00   0.000000   0.000000   0.000174   0.009070   0.014792  
 291.00   0.000000   0.000000   0.000166   0.008984   0.014635  
 292.00   0.000000   0.000000   0.000159   0.008898   0.014479  
 293.00   0.000000   0.000000   0.000152   0.008813   0.014325  
 294.00   0.000000   0.000000   0.000145   0.008729   0.014172  
 295.00   0.000000   0.000000   0.000139   0.008646   0.014021  
 296.00   0.000000   0.000000   0.000133   0.008563   0.013872  
 297.00   0.000000   0.000000   0.000127   0.008481   0.013724  
 298.00   0.000000   0.000000   0.000122   0.008399   0.013578  
 299.00   0.000000   0.000000   0.000116   0.008318   0.013433  
 300.00   0.000000   0.000000   0.000111   0.008238   0.013290  
 301.00   0.000000   0.000000   0.000106   0.008159   0.013149  
 302.00   0.000000   0.000000   0.000102   0.008080   0.013009  
 303.00   0.000000   0.000000   0.000097   0.008002   0.012870  
 304.00   0.000000   0.000000   0.000093   0.007925   0.012733  
 305.00   0.000000   0.000000   0.000089   0.007848   0.012597  
 306.00   0.000000   0.000000   0.000085   0.007772   0.012463  
 307.00   0.000000   0.000000   0.000081   0.007697   0.012330  
 308.00   0.000000   0.000000   0.000078   0.007622   0.012199  
 309.00   0.000000   0.000000   0.000074   0.007548   0.012069  
 310.00   0.000000   0.000000   0.000071   0.007475   0.011940  
 311.00   0.000000   0.000000   0.000068   0.007402   0.011813  
 312.00   0.000000   0.000000   0.000065   0.007330   0.011687  
 313.00   0.000000   0.000000   0.000062   0.007258   0.011563  
 314.00   0.000000   0.000000   0.000059   0.007187   0.011439  
 315.00   0.000000   0.000000   0.000057   0.007117   0.011317  
 316.00   0.000000   0.000000   0.000054   0.007048   0.011197  
 317.00   0.000000   0.000000   0.000052   0.006979   0.011077  
 318.00   0.000000   0.000000   0.000049   0.006910   0.010959  
 319.00   0.000000   0.000000   0.000047   0.006843   0.010843  
 320.00   0.000000   0.000000   0.000045   0.006775   0.010727  
 321.00   0.000000   0.000000   0.000043   0.006709   0.010613  
 322.00   0.000000   0.000000   0.000041   0.006643   0.010500  
 323.00   0.000000   0.000000   0.000039   0.006578   0.010388  
 324.00   0.000000   0.000000   0.000038   0.006513   0.010277  
 325.00   0.000000   0.000000   0.000036   0.006449   0.010167  
 326.00   0.000000   0.000000   0.000034   0.006385   0.010059  
 327.00   0.000000   0.000000   0.000033   0.006322   0.009952  
 328.00   0.000000   0.000000   0.000031   0.006260   0.009846  
 329.00   0.000000   0.000000   0.000030   0.006198   0.009741  
 330.00   0.000000   0.000000   0.000029   0.006137   0.009637  
 331.00   0.000000   0.000000   0.000027   0.006076   0.009534  
 332.00   0.000000   0.000000   0.000026   0.006016   0.009432  
 333.00   0.000000   0.000000   0.000025   0.005956   0.009332  
 334.00   0.000000   0.000000   0.000024   0.005897   0.009232  
 335.00   0.000000   0.000000   0.000023   0.005839   0.009134  
 336.00   0.000000   0.000000   0.000022   0.005781   0.009036  
 337.00   0.000000   0.000000   0.000021   0.005724   0.008940  
 338.00   0.000000   0.000000   0.000020   0.005667   0.008845  
 339.00   0.000000   0.000000   0.000019   0.005610   0.008750  
 340.00   0.000000   0.000000   0.000018   0.005554   0.008657  
 341.00   0.000000   0.000000   0.000017   0.005499   0.008565  
 342.00   0.000000   0.000000   0.000017   0.005444   0.008473  
 343.00   0.000000   0.000000   0.000016   0.005390   0.008383  
 344.00   0.000000   0.000000   0.000015   0.005336   0.008294  
 345.00   0.000000   0.000000   0.000014   0.005283   0.008205  
 346.00   0.000000   0.000000   0.000014   0.005230   0.008118  
 347.00   0.000000   0.000000   0.000013   0.005178   0.008031  
 348.00   0.000000   0.000000   0.000013   0.005126   0.007945  
 349.00   0.000000   0.000000   0.000012   0.005075   0.007861  
 350.00   0.000000   0.000000   0.000011   0.005024   0.007777  
 351.00   0.000000   0.000000   0.000011   0.004974   0.007694  
 352.00   0.000000   0.000000   0.000010   0.004924   0.007612  
 353.00   0.000000   0.000000   0.000010   0.004875   0.007531  
 354.00   0.000000   0.000000   0.000010   0.004826   0.007450  
 355.00   0.000000   0.000000   0.000009   0.004778   0.007371  
 356.00   0.000000   0.000000   0.000009   0.004730   0.007292  
 357.00   0.000000   0.000000   0.000008   0.004682   0.007214  
 358.00   0.000000   0.000000   0.000008   0.004635   0.007137  
 359.00   0.000000   0.000000   0.000008   0.004589   0.007061  
 360.00   0.000000   0.000000   0.000007   0.004542   0.006986  
 361.00   0.000000   0.000000   0.000007   0.004497   0.006911  
 362.00   0.000000   0.000000   0.000007   0.004452   0.006838  
 363.00   0.000000   0.000000   0.000006   0.004407   0.006765  
 364.00   0.000000   0.000000   0.000006   0.004362   0.006693  
 365.00   0.000000   0.000000   0.000006   0.004318   0.006621  
 366.00   0.000000   0.000000   0.000005   0.004275   0.006550  
 367.00   0.000000   0.000000   0.000005   0.004232   0.006481  
 368.00   0.000000   0.000000   0.000005   0.004189   0.006411  
 369.00   0.000000   0.000000   0.000005   0.004147   0.006343  
 370.00   0.000000   0.000000   0.000005   0.004105   0.006275  
 371.00   0.000000   0.000000   0.000004   0.004063   0.006208  
 372.00   0.000000   0.000000   0.000004   0.004022   0.006142  
 373.00   0.000000   0.000000   0.000004   0.003982   0.006077  
 374.00   0.000000   0.000000   0.000004   0.003941   0.006012  
 375.00   0.000000   0.000000   0.000004   0.003902   0.005948  
 376.00   0.000000   0.000000   0.000003   0.003862   0.005884  
 377.00   0.000000   0.000000   0.000003   0.003823   0.005821  
 378.00   0.000000   0.000000   0.000003   0.003784   0.005759  
 379.00   0.000000   0.000000   0.000003   0.003746   0.005698  
 380.00   0.000000   0.000000   0.000003   0.003708   0.005637  
 381.00   0.000000   0.000000   0.000003   0.003670   0.005577  
 382.00   0.000000   0.000000   0.000003   0.003633   0.005517  
 383.00   0.000000   0.000000   0.000002   0.003596   0.005459  
 384.00   0.000000   0.000000   0.000002   0.003560   0.005400  
 385.00   0.000000   0.000000   0.000002   0.003524   0.005343  
 386.00   0.000000   0.000000   0.000002   0.003488   0.005286  
 387.00   0.000000   0.000000   0.000002   0.003452   0.005229  
 388.00   0.000000   0.000000   0.000002   0.003417   0.005174  
 389.00   0.000000   0.000000   0.000002   0.003383   0.005118  
 390.00   0.000000   0.000000   0.000002   0.003348   0.005064  
 391.00   0.000000   0.000000   0.000002   0.003314   0.005010  
 392.00   0.000000   0.000000   0.000002   0.003281   0.004956  
 393.00   0.000000   0.000000   0.000002   0.003247   0.004903  
 394.00   0.000000   0.000000   0.000001   0.003214   0.004851  
 395.00   0.000000   0.000000   0.000001   0.003181   0.004799  
 396.00   0.000000   0.000000   0.000001   0.003149   0.004748  
 397.00   0.000000   0.000000   0.000001   0.003117   0.004697  
 398.00   0.000000   0.000000   0.000001   0.003085   0.004647  
 399.00   0.000000   0.000000   0.000001   0.003054   0.004598  
 400.00   0.000000   0.000000   0.000001   0.003023   0.004549  
 401.00   0.000000   0.000000   0.000001   0.002992   0.004500  
 402.00   0.000000   0.000000   0.000001   0.002961   0.004452  
 403.00   0.000000   0.000000   0.000001   0.002931   0.004405  
 404.00   0.000000   0.000000   0.000001   0.002901   0.004358  
 405.00   0.000000   0.000000   0.000001   0.002871   0.004311  
 406.00   0.000000   0.000000   0.000001   0.002842   0.004265  
 407.00   0.000000   0.000000   0.000001   0.002813   0.004220  
 408.00   0.000000   0.000000   0.000001   0.002784   0.004175  
 409.00   0.000000   0.000000   0.000001   0.002756   0.004130  
 410.00   0.000000   0.000000   0.000001   0.002728   0.004086  
 411.00   0.000000   0.000000   0.000001   0.002700   0.004042  
 412.00   0.000000   0.000000   0.000001   0.002672   0.003999  
 413.00   0.000000   0.000000   0.000001   0.002645   0.003956  
 414.00   0.000000   0.000000   0.000001   0.002618   0.003914  
 415.00   0.000000   0.000000   0.000001   0.002591   0.003872  
 416.00   0.000000   0.000000   0.000001   0.002565   0.003831  
 417.00   0.000000   0.000000   0.000001   0.002538   0.003790  
 418.00   0.000000   0.000000   0.000000   0.002512   0.003750  
 419.00   0.000000   0.000000   0.000000   0.002487   0.003710  
 420.00   0.000000   0.000000   0.000000   0.002461   0.003670  
 421.00   0.000000   0.000000   0.000000   0.002436   0.003631  
 422.00   0.000000   0.000000   0.000000   0.002411   0.003592  
 423.00   0.000000   0.000000   0.000000   0.002386   0.003554  
 424.00   0.000000   0.000000   0.000000   0.002362   0.003516  
 425.00   0.000000   0.000000   0.000000   0.002338   0.003479  
 426.00   0.000000   0.000000   0.000000   0.002314   0.003441  
 427.00   0.000000   0.000000   0.000000   0.002290   0.003405  
 428.00   0.000000   0.000000   0.000000   0.002266   0.003368  
 429.00   0.000000   0.000000   0.000000   0.002243   0.003332  
 430.00   0.000000   0.000000   0.000000   0.002220   0.003297  
 431.00   0.000000   0.000000   0.000000   0.002197   0.003262  
 432.00   0.000000   0.000000   0.000000   0.002175   0.003227  
 433.00   0.000000   0.000000   0.000000   0.002153   0.003192  
 434.00   0.000000   0.000000   0.000000   0.002130   0.003158  
 435.00   0.000000   0.000000   0.000000   0.002109   0.003125  
 436.00   0.000000   0.000000   0.000000   0.002087   0.003091  
 437.00   0.000000   0.000000   0.000000   0.002065   0.003058  
 438.00   0.000000   0.000000   0.000000   0.002044   0.003026  
 439.00   0.000000   0.000000   0.000000   0.002023   0.002993  
 440.00   0.000000   0.000000   0.000000   0.002002   0.002961  
 441.00   0.000000   0.000000   0.000000   0.001982   0.002930  
 442.00   0.000000   0.000000   0.000000   0.001961   0.002899  
 443.00   0.000000   0.000000   0.000000   0.001941   0.002868  
 444.00   0.000000   0.000000   0.000000   0.001921   0.002837  
 445.00   0.000000   0.000000   0.000000   0.001902   0.002807  
 446.00   0.000000   0.000000   0.000000   0.001882   0.002777  
 447.00   0.000000   0.000000   0.000000   0.001863   0.002747  
